iter	Passed	Remaining
0	0	23
1	0	21
2	0	20
3	0	18
4	0	18
5	1	18
6	1	18
7	1	18
8	1	18
9	2	18
10	2	18
11	2	17
12	2	17
13	2	17
14	3	17
15	3	16
16	3	16
17	3	16
18	3	16
19	4	16
20	4	16
21	4	15
22	4	15
23	4	15
24	5	15
25	5	15
26	5	14
27	5	14
28	5	14
29	6	14
30	6	14
31	6	14
32	6	14
33	7	13
34	7	13
35	7	13
36	7	13
37	8	13
38	8	12
39	8	12
40	8	12
41	8	11
42	8	11
43	9	11
44	9	11
45	9	11
46	9	11
47	10	10
48	10	10
49	10	10
50	10	10
51	10	10
52	11	9
53	11	9
54	11	9
55	11	9
56	12	9
57	12	8
58	12	8
59	12	8
60	12	8
61	13	8
62	13	7
63	13	7
64	14	7
65	14	7
66	14	7
67	14	6
68	15	6
69	15	6
70	15	6
71	15	6
72	16	5
73	16	5
74	16	5
75	16	5
76	17	5
77	17	4
78	17	4
79	17	4
80	18	4
81	18	4
82	18	3
83	18	3
84	19	3
85	19	3
86	19	2
87	20	2
88	20	2
89	20	2
90	20	2
91	21	1
92	21	1
93	21	1
94	22	1
95	22	0
96	22	0
97	22	0
98	23	0
99	23	0
