iter	Passed	Remaining
0	57	57937
1	58	29108
2	58	19496
3	58	14679
4	59	11792
5	59	9882
6	59	8506
7	60	7469
8	60	6661
9	60	6014
10	61	5489
11	61	5049
12	61	4676
13	61	4360
14	62	4081
15	62	3843
16	62	3627
17	63	3438
18	63	3268
19	63	3115
20	63	2976
21	64	2848
22	64	2733
23	64	2630
24	64	2533
25	65	2442
26	65	2360
27	65	2284
28	66	2214
29	66	2147
30	66	2086
31	67	2030
32	67	1975
33	67	1923
34	68	1877
35	68	1829
36	68	1784
37	69	1756
38	69	1717
39	69	1679
40	70	1643
41	70	1610
42	70	1577
43	71	1544
44	71	1516
45	71	1487
46	71	1458
47	72	1433
48	72	1407
49	72	1384
50	73	1363
51	73	1340
52	73	1319
53	74	1298
54	74	1277
55	74	1257
56	74	1238
57	75	1220
58	75	1202
59	75	1187
60	76	1170
61	76	1154
62	76	1138
63	76	1122
64	76	1107
65	77	1093
66	77	1078
67	77	1064
68	77	1050
69	78	1037
70	78	1025
71	78	1013
72	78	1001
73	79	989
74	79	978
75	79	967
76	79	957
77	80	946
78	80	936
79	80	928
80	81	919
81	81	909
82	81	898
83	81	889
84	81	880
85	82	871
86	82	864
87	82	856
88	82	848
89	83	840
90	83	832
91	83	825
92	83	817
93	84	810
94	84	803
95	84	797
96	84	790
97	85	784
98	85	778
99	85	771
100	85	765
101	86	759
102	86	753
103	86	747
104	87	742
105	87	737
106	87	732
107	87	726
108	88	721
109	88	715
110	88	711
111	88	705
112	89	700
113	89	695
114	89	690
115	89	685
116	90	680
117	90	675
118	90	671
119	90	667
120	91	662
121	91	658
122	91	653
123	91	649
124	92	645
125	92	642
126	92	637
127	93	634
128	93	630
129	93	626
130	93	623
131	94	620
132	94	616
133	94	612
134	95	609
135	95	605
136	95	602
137	95	599
138	96	596
139	96	592
140	96	589
141	96	585
142	97	581
143	97	578
144	97	575
145	97	571
146	97	568
147	98	565
148	98	562
149	98	559
150	98	556
151	99	553
152	99	550
153	99	547
154	99	545
155	100	542
156	100	539
157	100	536
158	100	533
159	101	531
160	101	528
161	101	526
162	101	523
163	102	521
164	102	518
165	102	516
166	103	514
167	103	512
168	103	509
169	103	507
170	104	504
171	104	502
172	104	500
173	104	497
174	105	495
175	105	493
176	105	490
177	105	488
178	106	486
179	106	484
180	106	482
181	106	480
182	107	478
183	107	476
184	107	474
185	107	472
186	108	469
187	108	467
188	108	465
189	108	463
190	108	461
191	109	459
192	109	457
193	109	455
194	110	454
195	110	452
196	110	450
197	110	448
198	111	446
199	111	445
200	111	443
201	111	441
202	111	439
203	112	437
204	112	436
205	112	434
206	112	432
207	113	430
208	113	429
209	113	427
210	113	425
211	114	424
212	114	422
213	114	420
214	114	419
215	115	417
216	115	416
217	115	414
218	115	413
219	116	411
220	116	410
221	116	408
222	116	407
223	117	405
224	117	404
225	117	402
226	118	403
227	118	402
228	119	402
229	119	401
230	120	400
231	120	398
232	120	397
233	121	396
234	121	395
235	121	393
236	121	392
237	122	391
238	122	389
239	122	388
240	123	387
241	123	386
242	123	385
243	123	383
244	124	382
245	124	381
246	124	380
247	125	379
248	125	377
249	125	376
250	125	375
251	126	374
252	126	372
253	126	371
254	126	370
255	127	369
256	127	368
257	127	367
258	128	366
259	128	365
260	128	364
261	128	363
262	129	361
263	129	360
264	129	359
265	129	358
266	130	357
267	130	356
268	130	355
269	130	353
270	131	352
271	131	351
272	131	350
273	131	349
274	132	348
275	132	347
276	132	346
277	132	345
278	133	344
279	133	343
280	133	342
281	134	341
282	134	340
283	134	339
284	134	338
285	135	337
286	135	336
287	135	335
288	135	334
289	136	333
290	136	332
291	136	331
292	137	330
293	137	329
294	137	328
295	137	327
296	138	326
297	138	326
298	138	325
299	138	324
300	139	323
301	139	322
302	139	321
303	140	320
304	140	319
305	140	318
306	140	318
307	141	317
308	141	316
309	141	315
310	142	314
311	142	313
312	142	312
313	142	311
314	142	310
315	143	310
316	143	309
317	143	308
318	143	307
319	144	306
320	144	305
321	144	304
322	145	304
323	145	303
324	145	302
325	145	301
326	146	300
327	146	299
328	146	299
329	146	298
330	147	297
331	147	296
332	147	295
333	147	294
334	148	294
335	148	293
336	148	292
337	148	291
338	149	290
339	149	289
340	149	289
341	149	288
342	150	287
343	150	286
344	150	285
345	150	285
346	151	284
347	151	283
348	151	282
349	151	281
350	152	281
351	152	280
352	152	279
353	152	278
354	152	277
355	153	277
356	153	276
357	153	275
358	153	274
359	154	274
360	154	273
361	154	272
362	154	271
363	155	271
364	155	270
365	155	269
366	155	269
367	156	268
368	156	267
369	156	266
370	157	266
371	157	265
372	157	264
373	157	264
374	158	263
375	158	262
376	158	261
377	158	261
378	159	260
379	159	260
380	159	259
381	159	258
382	160	257
383	160	257
384	160	256
385	160	256
386	161	255
387	161	254
388	161	253
389	161	253
390	162	252
391	162	251
392	162	251
393	162	250
394	163	249
395	163	249
396	163	248
397	163	247
398	164	247
399	164	246
400	164	245
401	164	245
402	165	244
403	165	243
404	165	243
405	165	242
406	166	241
407	166	241
408	166	240
409	166	240
410	167	239
411	167	239
412	167	238
413	168	237
414	168	237
415	168	236
416	168	236
417	169	235
418	169	234
419	169	234
420	169	233
421	170	232
422	170	232
423	170	231
424	170	231
425	171	230
426	171	230
427	171	229
428	171	228
429	172	228
430	172	227
431	172	227
432	173	226
433	173	225
434	173	225
435	173	224
436	174	224
437	174	223
438	174	223
439	174	222
440	174	221
441	175	221
442	175	220
443	175	220
444	176	219
445	176	218
446	176	218
447	176	217
448	176	217
449	177	216
450	177	215
451	177	215
452	177	214
453	178	214
454	178	213
455	178	213
456	179	212
457	179	212
458	179	211
459	179	211
460	180	210
461	180	209
462	180	209
463	180	208
464	180	208
465	181	207
466	181	207
467	181	206
468	182	206
469	182	205
470	182	205
471	182	204
472	183	204
473	183	203
474	183	202
475	183	202
476	184	201
477	184	201
478	184	200
479	184	200
480	185	199
481	185	199
482	185	198
483	185	198
484	186	197
485	186	197
486	186	196
487	186	196
488	187	195
489	187	194
490	187	194
491	187	193
492	187	193
493	188	192
494	188	192
495	188	191
496	188	191
497	189	190
498	189	190
499	189	189
500	190	189
501	190	188
502	190	188
503	190	187
504	191	187
505	191	186
506	191	186
507	191	185
508	191	185
509	192	184
510	192	184
511	192	183
512	192	183
513	193	182
514	193	182
515	193	181
516	194	181
517	194	180
518	194	180
519	194	179
520	195	179
521	195	179
522	195	178
523	195	177
524	196	177
525	196	177
526	196	176
527	197	176
528	197	175
529	197	175
530	197	174
531	198	174
532	198	173
533	198	173
534	199	173
535	199	172
536	199	172
537	199	171
538	200	171
539	200	170
540	200	170
541	200	169
542	201	169
543	201	168
544	201	168
545	201	167
546	202	167
547	202	166
548	202	166
549	202	166
550	203	165
551	203	165
552	203	164
553	203	164
554	204	163
555	204	163
556	204	162
557	204	162
558	205	161
559	205	161
560	205	160
561	205	160
562	206	160
563	206	159
564	206	159
565	206	158
566	207	158
567	207	157
568	207	157
569	207	156
570	208	156
571	208	155
572	208	155
573	208	155
574	209	154
575	209	154
576	209	153
577	210	153
578	210	152
579	210	152
580	210	152
581	211	151
582	211	151
583	211	150
584	211	150
585	212	149
586	212	149
587	212	148
588	212	148
589	213	148
590	213	147
591	213	147
592	213	146
593	214	146
594	214	145
595	214	145
596	214	145
597	215	144
598	215	144
599	215	143
600	215	143
601	216	143
602	216	142
603	216	142
604	217	141
605	217	141
606	217	140
607	217	140
608	218	140
609	218	139
610	218	139
611	218	138
612	219	138
613	219	137
614	219	137
615	219	136
616	219	136
617	220	136
618	220	135
619	220	135
620	221	134
621	221	134
622	221	134
623	222	134
624	222	133
625	223	133
626	223	132
627	223	132
628	224	132
629	224	131
630	225	131
631	225	131
632	225	130
633	225	130
634	226	129
635	226	129
636	226	129
637	226	128
638	227	128
639	227	127
640	227	127
641	227	127
642	228	126
643	228	126
644	228	125
645	228	125
646	229	124
647	229	124
648	229	124
649	229	123
650	230	123
651	230	122
652	230	122
653	230	122
654	231	121
655	231	121
656	231	120
657	231	120
658	232	120
659	232	119
660	232	119
661	232	118
662	233	118
663	233	118
664	233	117
665	234	117
666	234	116
667	234	116
668	234	116
669	234	115
670	235	115
671	235	114
672	235	114
673	236	114
674	236	113
675	236	113
676	236	112
677	237	112
678	237	112
679	237	111
680	237	111
681	238	110
682	238	110
683	238	110
684	238	109
685	239	109
686	239	109
687	239	108
688	239	108
689	240	107
690	240	107
691	240	107
692	240	106
693	241	106
694	241	105
695	241	105
696	242	105
697	242	104
698	242	104
699	242	104
700	243	103
701	243	103
702	244	103
703	244	102
704	244	102
705	244	101
706	245	101
707	245	101
708	245	100
709	245	100
710	246	100
711	246	99
712	246	99
713	246	98
714	247	98
715	247	98
716	247	97
717	247	97
718	248	97
719	248	96
720	248	96
721	248	95
722	249	95
723	249	95
724	249	94
725	250	94
726	250	93
727	250	93
728	250	93
729	250	92
730	251	92
731	251	92
732	251	91
733	251	91
734	252	90
735	252	90
736	252	90
737	253	89
738	253	89
739	253	89
740	253	88
741	254	88
742	254	88
743	254	87
744	254	87
745	255	86
746	255	86
747	255	86
748	256	85
749	256	85
750	256	85
751	256	84
752	257	84
753	257	83
754	257	83
755	257	83
756	258	82
757	258	82
758	258	82
759	258	81
760	259	81
761	259	80
762	259	80
763	259	80
764	259	79
765	260	79
766	260	79
767	260	78
768	261	78
769	261	78
770	261	77
771	261	77
772	262	76
773	262	76
774	262	76
775	262	75
776	263	75
777	263	75
778	263	74
779	263	74
780	264	74
781	264	73
782	264	73
783	264	72
784	265	72
785	265	72
786	265	71
787	265	71
788	266	71
789	266	70
790	266	70
791	266	70
792	267	69
793	267	69
794	267	69
795	268	68
796	268	68
797	268	67
798	268	67
799	269	67
800	269	66
801	269	66
802	270	66
803	270	65
804	270	65
805	270	65
806	271	64
807	271	64
808	271	64
809	271	63
810	272	63
811	272	63
812	272	62
813	272	62
814	273	62
815	273	61
816	273	61
817	274	60
818	274	60
819	274	60
820	274	59
821	275	59
822	275	59
823	275	58
824	275	58
825	276	58
826	276	57
827	276	57
828	276	57
829	277	56
830	277	56
831	277	56
832	278	55
833	278	55
834	278	55
835	278	54
836	278	54
837	279	53
838	279	53
839	279	53
840	280	52
841	280	52
842	280	52
843	280	51
844	281	51
845	281	51
846	281	50
847	281	50
848	282	50
849	282	49
850	282	49
851	282	49
852	283	48
853	283	48
854	283	48
855	284	47
856	284	47
857	284	47
858	284	46
859	284	46
860	285	46
861	285	45
862	285	45
863	286	45
864	286	44
865	286	44
866	286	43
867	287	43
868	287	43
869	287	42
870	287	42
871	287	42
872	288	41
873	288	41
874	288	41
875	288	40
876	289	40
877	289	40
878	289	39
879	289	39
880	290	39
881	290	38
882	290	38
883	290	38
884	291	37
885	291	37
886	291	37
887	291	36
888	292	36
889	292	36
890	292	35
891	293	35
892	293	35
893	293	34
894	293	34
895	293	34
896	294	33
897	294	33
898	294	33
899	294	32
900	295	32
901	295	32
902	295	31
903	295	31
904	296	31
905	296	30
906	296	30
907	296	30
908	297	29
909	297	29
910	297	29
911	297	28
912	298	28
913	298	28
914	298	27
915	298	27
916	299	27
917	299	26
918	299	26
919	299	26
920	300	25
921	300	25
922	300	25
923	301	24
924	301	24
925	301	24
926	301	23
927	302	23
928	302	23
929	302	22
930	302	22
931	303	22
932	303	21
933	303	21
934	303	21
935	304	20
936	304	20
937	304	20
938	304	19
939	305	19
940	305	19
941	305	18
942	305	18
943	306	18
944	306	17
945	306	17
946	307	17
947	307	16
948	307	16
949	307	16
950	308	15
951	308	15
952	308	15
953	308	14
954	309	14
955	309	14
956	309	13
957	309	13
958	310	13
959	310	12
960	310	12
961	310	12
962	311	11
963	311	11
964	311	11
965	312	10
966	312	10
967	312	10
968	313	10
969	313	9
970	313	9
971	313	9
972	314	8
973	314	8
974	314	8
975	314	7
976	315	7
977	315	7
978	315	6
979	315	6
980	316	6
981	316	5
982	316	5
983	316	5
984	317	4
985	317	4
986	317	4
987	317	3
988	317	3
989	318	3
990	318	2
991	318	2
992	318	2
993	319	1
994	319	1
995	319	1
996	320	0
997	320	0
998	320	0
999	320	0
